date,likes,hour,day_of_week,day_category,hours_since_last_post
2006-12-02 10:02:00,2889,10,5,0,
2006-12-05 00:31:00,591,0,1,3,62.483333333333334
2006-12-08 17:18:00,358,17,4,1,88.78333333333333
2006-12-08 17:55:00,201,17,4,1,0.6166666666666667
2006-12-08 19:18:00,175,19,4,2,1.3833333333333333
2006-12-09 00:38:00,118,0,5,3,5.333333333333333
2006-12-11 00:35:00,317,0,0,3,47.95
2006-12-14 04:35:00,168,4,3,3,76.0
2006-12-21 04:30:00,116,4,3,3,167.91666666666666
2007-01-10 02:07:00,101,2,2,3,477.6166666666667
2007-01-11 18:41:00,133,18,3,2,40.56666666666667
2007-01-12 19:31:00,78,19,4,2,24.833333333333332
2007-01-16 18:01:00,82,18,1,2,94.5
2007-01-18 15:51:00,65,15,3,1,45.833333333333336
2007-01-19 21:26:00,61,21,4,2,29.583333333333332
2007-01-19 21:29:00,72,21,4,2,0.05
2007-01-19 22:25:00,65,22,4,2,0.9333333333333333
2007-01-21 20:28:00,60,20,6,2,46.05
2007-01-28 20:46:00,62,20,6,2,168.3
2007-01-28 23:06:00,94,23,6,2,2.3333333333333335
2007-01-29 17:59:00,92,17,0,1,18.883333333333333
2007-01-29 18:56:00,48,18,0,2,0.95
2007-01-30 04:04:00,61,4,1,3,9.133333333333333
2007-01-31 02:35:00,61,2,2,3,22.516666666666666
2007-01-31 02:39:00,188,2,2,3,0.06666666666666667
2007-01-31 02:39:00,64,2,2,3,0.0
2007-01-31 15:21:00,82,15,2,1,12.7
2007-01-31 16:59:00,55,16,2,1,1.6333333333333333
2007-01-31 22:48:00,48,22,2,2,5.816666666666666
2007-01-31 23:25:00,48,23,2,2,0.6166666666666667
2007-02-01 01:19:00,60,1,3,3,1.9
2007-02-01 02:19:00,103,2,3,3,1.0
2007-02-01 03:11:00,52,3,3,3,0.8666666666666667
2007-02-01 04:08:00,43,4,3,3,0.95
2007-02-01 05:18:00,57,5,3,3,1.1666666666666667
2007-02-01 20:59:00,44,20,3,2,15.683333333333334
2007-02-03 05:30:00,40,5,5,3,32.516666666666666
2007-02-03 05:31:00,39,5,5,3,0.016666666666666666
2007-02-03 19:38:00,44,19,5,2,14.116666666666667
2007-02-04 01:23:00,38,1,6,3,5.75
2007-02-04 11:55:00,37,11,6,0,10.533333333333333
2007-02-06 15:19:00,35,15,1,1,51.4
2007-02-06 15:21:00,43,15,1,1,0.03333333333333333
2007-02-06 15:40:00,33,15,1,1,0.31666666666666665
2007-02-06 19:34:00,48,19,1,2,3.9
2007-02-08 17:26:00,28,17,3,1,45.86666666666667
2007-02-08 23:13:00,31,23,3,2,5.783333333333333
2007-02-09 03:48:00,34,3,4,3,4.583333333333333
2007-02-09 03:52:00,32,3,4,3,0.06666666666666667
2007-02-09 15:18:00,24,15,4,1,11.433333333333334
2007-02-09 17:14:00,25,17,4,1,1.9333333333333333
2007-02-09 19:42:00,30,19,4,2,2.466666666666667
2007-02-14 00:12:00,34,0,2,3,100.5
2007-02-14 09:56:00,25,9,2,0,9.733333333333333
2007-02-15 15:21:00,25,15,3,1,29.416666666666668
2007-02-15 21:40:00,34,21,3,2,6.316666666666666
2007-02-15 23:05:00,23,23,3,2,1.4166666666666667
2007-02-16 20:24:00,23,20,4,2,21.316666666666666
2007-02-17 23:12:00,28,23,5,2,26.8
2007-02-18 02:12:00,23,2,6,3,3.0
2007-02-18 03:31:00,24,3,6,3,1.3166666666666667
2007-02-18 20:08:00,56,20,6,2,16.616666666666667
2007-02-19 20:39:00,19,20,0,2,24.516666666666666
2007-02-20 01:02:00,19,1,1,3,4.383333333333334
2007-02-20 23:03:00,45,23,1,2,22.016666666666666
2007-02-21 00:31:00,21,0,2,3,1.4666666666666666
2007-02-21 01:19:00,26,1,2,3,0.8
2007-02-21 18:11:00,18,18,2,2,16.866666666666667
2007-02-22 22:12:00,19,22,3,2,28.016666666666666
2007-02-25 13:45:00,23,13,6,1,63.55
2007-02-26 02:54:00,20,2,0,3,13.15
2007-03-01 22:44:00,24,22,3,2,91.83333333333333
2007-03-01 23:44:00,41,23,3,2,1.0
2007-03-02 16:54:00,21,16,4,1,17.166666666666668
2007-03-04 15:48:00,23,15,6,1,46.9
2007-03-05 00:04:00,23,0,0,3,8.266666666666667
2007-03-06 02:36:00,19,2,1,3,26.533333333333335
2007-03-06 23:18:00,20,23,1,2,20.7
2007-03-08 22:11:00,20,22,3,2,46.88333333333333
2007-03-08 23:36:00,93,23,3,2,1.4166666666666667
2007-03-09 00:08:00,39,0,4,3,0.5333333333333333
2007-03-09 02:04:00,509,2,4,3,1.9333333333333333
2007-03-09 23:49:00,28,23,4,2,21.75
2007-03-09 23:56:00,25,23,4,2,0.11666666666666667
2007-03-10 00:07:00,1614,0,5,3,0.18333333333333332
2007-03-10 01:19:00,20,1,5,3,1.2
2007-03-10 02:43:00,25,2,5,3,1.4
2007-03-10 03:02:00,22,3,5,3,0.31666666666666665
2007-03-11 01:01:00,26,1,6,3,21.983333333333334
2007-03-11 16:45:00,20,16,6,1,15.733333333333333
2007-03-14 23:03:00,177,23,2,2,78.3
2007-03-15 22:54:00,32,22,3,2,23.85
2007-03-16 01:45:00,20,1,4,3,2.85
2007-03-18 01:33:00,20,1,6,3,47.8
2007-03-18 03:01:00,18,3,6,3,1.4666666666666666
2007-03-18 14:50:00,25,14,6,1,11.816666666666666
2007-03-20 20:18:00,16,20,1,2,53.46666666666667
2007-03-24 02:46:00,38,2,5,3,78.46666666666667
2007-03-24 16:27:00,21,16,5,1,13.683333333333334
2007-03-27 18:07:00,12154,18,1,2,73.66666666666667
2007-03-28 03:20:00,20,3,2,3,9.216666666666667
2007-03-30 02:49:00,21,2,4,3,47.483333333333334
2007-04-01 00:52:00,18,0,6,3,46.05
2007-04-01 16:02:00,61,16,6,1,15.166666666666666
2007-04-01 23:05:00,30,23,6,2,7.05
2007-04-02 00:39:00,20,0,0,3,1.5666666666666667
2007-04-02 03:19:00,18,3,0,3,2.6666666666666665
2007-04-02 19:52:00,17,19,0,2,16.55
2007-04-02 21:42:00,18,21,0,2,1.8333333333333333
2007-04-05 01:46:00,34,1,3,3,52.06666666666667
2007-04-05 16:14:00,19,16,3,1,14.466666666666667
2007-04-05 18:32:00,28,18,3,2,2.3
2007-04-06 14:22:00,24,14,4,1,19.833333333333332
2007-04-06 15:11:00,38,15,4,1,0.8166666666666667
2007-04-06 21:41:00,32,21,4,2,6.5
2007-04-10 21:00:00,34,21,1,2,95.31666666666666
2007-04-10 23:21:00,25,23,1,2,2.35
2007-04-11 19:14:00,16,19,2,2,19.883333333333333
2007-04-12 12:53:00,14,12,3,1,17.65
2007-04-12 12:54:00,14,12,3,1,0.016666666666666666
2007-04-13 00:14:00,16,0,4,3,11.333333333333334
2007-04-13 00:14:00,18,0,4,3,0.0
2007-04-13 01:29:00,16,1,4,3,1.25
2007-04-13 12:41:00,37,12,4,1,11.2
2007-04-13 17:43:00,18,17,4,1,5.033333333333333
2007-04-13 19:31:00,17,19,4,2,1.8
2007-04-15 01:36:00,16,1,6,3,30.083333333333332
